"sample002_knn_10"	"sample002_knn_11"	"sample002_knn_12"	"sample002_knn_13"	"sample002_knn_14"	"sample002_knn_15"
"AC003965.1"	0.141849529780564	0.155956112852665	0.167711598746081	0.173197492163009	0.186520376175549	0.19435736677116
"AC003984.1"	0.119905956112853	0.129310344827586	0.13871473354232	0.148119122257053	0.156739811912226	0.176332288401254
"AC004000.1"	0.0235109717868339	0.0235109717868339	0.0258620689655172	0.0266457680250784	0.0282131661442006	0.0297805642633229
"AC004034.1"	0.0587774294670846	0.0673981191222571	0.072884012539185	0.0815047021943574	0.0869905956112853	0.0924764890282132
"AC004039.1"	0.0995297805642633	0.112852664576803	0.122257053291536	0.130094043887147	0.135579937304075	0.143416927899687
"AC004053.1"	0.0470219435736677	0.0532915360501567	0.0564263322884013	0.0626959247648903	0.0658307210031348	0.0697492163009404
"AC004069.1"	0.0525078369905956	0.0634796238244514	0.0650470219435737	0.0705329153605016	0.0752351097178683	0.079153605015674
"AC004076.2"	0.0783699059561129	0.085423197492163	0.10423197492163	0.116771159874608	0.125391849529781	0.130094043887147
"AC004083.1"	0.157523510971787	0.174764890282132	0.191222570532915	0.206112852664577	0.21551724137931	0.227272727272727
"AC004112.1"	0.0862068965517241	0.101880877742947	0.105799373040752	0.108150470219436	0.119122257053292	0.123040752351097
"AC004148.1"	0.456112852664577	0.488244514106583	0.521943573667712	0.550156739811912	0.582288401253918	0.619122257053291
"AC004158.1"	0.276645768025078	0.297805642633229	0.328369905956113	0.34717868338558	0.362852664576802	0.384012539184953
"AC004160.1"	0.0525078369905956	0.0579937304075235	0.0595611285266458	0.0681818181818182	0.0736677115987461	0.0775862068965517
"AC004233.1"	0.0352664576802508	0.036833855799373	0.0407523510971787	0.0423197492163009	0.0431034482758621	0.0446708463949843
"AC004233.2"	0.054858934169279	0.0572100313479624	0.0658307210031348	0.0752351097178683	0.079153605015674	0.0830721003134796
"AC004233.3"	0.224137931034483	0.24294670846395	0.264890282131661	0.281347962382445	0.301724137931034	0.316614420062696
"AC004241.1"	0.228056426332288	0.255485893416928	0.270376175548589	0.289184952978056	0.304075235109718	0.320532915360502
"AC004241.3"	0.0619122257053292	0.0697492163009404	0.0783699059561129	0.085423197492163	0.0909090909090909	0.0948275862068965
"AC004253.1"	0.398119122257053	0.423981191222571	0.447492163009404	0.466300940438871	0.486677115987461	0.512539184952978
"AC004381.1"	0.107366771159875	0.114420062695925	0.122257053291536	0.132445141065831	0.14576802507837	0.154388714733542
"AC004448.2"	0.217084639498433	0.230407523510972	0.25	0.269592476489028	0.285266457680251	0.302507836990596
"AC004461.2"	0.0431034482758621	0.04858934169279	0.0493730407523511	0.0572100313479624	0.0650470219435737	0.0721003134796238
"AC004466.1"	0.0250783699059561	0.0282131661442006	0.030564263322884	0.0336990595611285	0.0344827586206897	0.0360501567398119
"AC004471.1"	0.0697492163009404	0.0744514106583072	0.0815047021943574	0.0893416927899686	0.0940438871473354	0.100313479623824
"AC004477.1"	0.160658307210031	0.174764890282132	0.184169278996865	0.195141065830721	0.20846394984326	0.217084639498433
"AC004490.1"	0.0235109717868339	0.0289968652037618	0.0336990595611285	0.0376175548589342	0.0438871473354232	0.0462382445141066
"AC004492.1"	0.0282131661442006	0.0321316614420063	0.0352664576802508	0.0376175548589342	0.0407523510971787	0.0446708463949843
"AC004494.1"	0.0391849529780564	0.0407523510971787	0.0446708463949843	0.04858934169279	0.0525078369905956	0.0564263322884013
"AC004528.1"	0.0219435736677116	0.024294670846395	0.0282131661442006	0.030564263322884	0.0329153605015674	0.0376175548589342
"AC004556.3"	0.67398119122257	0.697492163009404	0.717868338557994	0.737460815047022	0.761755485893417	0.781347962382445
